row_id	owner	source_file	source_symbol	device_scope	depends_on	source_status	source_relation	lock_or_order	failure_contract	measurement_surface	optimization_effect	runtime_status	silicon_status	nonclaim
RADEON_GTT_MODULE_GLOBAL_REQUEST_STATE	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_drv.c;drivers/gpu/drm/radeon/radeon_device.c	radeon_gart_size;radeon_check_arguments	all Radeon devices sharing one loaded module	NONE	proven	radeon_gart_size is one writable module-global integer initialized to minus one. The first device argument check replaces auto or invalid input in that shared integer with its family default, then copies the latched value into the device memory-controller state.	Module insertion establishes the request before PCI probe. Each device argument check may mutate the shared request before publishing mc.gtt_size for that device.	A later module-parameter write changes the shared request but does not rerun address placement, metadata allocation, TTM initialization, or register programming for an initialized device.	module load command;PCI probe order;kernel GTT log;module parameter value	Requires an explicit module-load gartsize value for comparable trials and records probe order as a confounder.	not-run	unproved	The parameter value read after initialization does not prove the value programmed for an existing device.
RS482_GTT_PARAMETER_ADMISSION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_drv.c;drivers/gpu/drm/radeon/radeon_device.c	radeon_gart_size;radeon_gart_size_auto;radeon_check_arguments	CHIP_RS480 internal GART	RADEON_GTT_MODULE_GLOBAL_REQUEST_STATE	proven	An explicit gartsize of at least 32 MiB and a power of two reaches mc.gtt_size. Auto, a value below 32 MiB, or a non-power-of-two value becomes the first probed family default. Every family below CHIP_RV770 resolves that default to 512 MiB, so the latched value does not identify RS482 as the first probed device.	Argument validation completes before mc.gtt_size is published and before ASIC selection.	Invalid explicit values warn and become the first probed family default rather than reaching RS400 programming as written.	module load command;kernel warning;per-device GTT log	Defines the requested aperture input but cannot select a workload optimum.	not-run	unproved	A source-accepted or default size is not a target allocation, stability, or performance verdict.
RS482_GTT_SIZE_REGISTER_ENCODING	linux-radeon-gororoba	drivers/gpu/drm/radeon/rs400.c;drivers/gpu/drm/radeon/r500_reg.h	rs400_gart_adjust_size;rs400_gart_init;rs400_gart_enable	CHIP_RS400;CHIP_RS480	RS482_GTT_PARAMETER_ADMISSION	proven	RS400 accepts 32, 64, 128, 256, 512, 1024, and 2048 MiB and maps each to one RS480_VA_SIZE code before setting RS480_GART_EN.	Selector normalization precedes memory-controller placement, page allocation, and hardware programming.	An unsupported size is forced to 32 MiB by rs400_gart_adjust_size; a later unrecognized effective size returns EINVAL from GART initialization or enable.	kernel log;AGP_ADDRESS_SPACE_SIZE read-only register capture	Proves the requested candidate encodings exist without preferring one.	not-run	unproved	A register encoding does not prove that the aperture is usable under pressure.
RS482_GTT_ADDRESS_PLACEMENT	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_device.c;drivers/gpu/drm/radeon/rs400.c	radeon_gtt_location;rs400_mc_init	CHIP_RS480 internal GART	RS482_GTT_SIZE_REGISTER_ENCODING	proven	RS400 sets gtt_base_align to the normalized power-of-two size minus one. radeon_gtt_location aligns the regions before and after VRAM to that size and selects the larger region. A valid selector therefore remains nominal or collapses to zero before later selector admission.	VRAM location and the nominal alignment mask are established before GTT placement; the inclusive GTT interval is published before GART allocation.	A zero effective size reaches rs400_gart_init and returns EINVAL. The source does not silently program an arbitrary intermediate size for an admitted selector.	kernel log;retained GTT interval;requested and effective size	Separates module input, normalized selector, address-fit result, and programmed aperture into distinct evidence fields.	not-run	unproved	The source derivation does not prove either candidate region or a successful target boot.
RS482_GART_METADATA_CAPACITY	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gart.c;drivers/gpu/drm/radeon/rs400.c	radeon_gart_init;rs400_gart_init;radeon_gart_table_ram_alloc	CHIP_RS400;CHIP_RS480	RS482_GTT_ADDRESS_PLACEMENT	proven	CPU and GPU page counts equal effective gtt_size divided by their page sizes. Linux allocates one pointer per CPU page, one u64 shadow per GPU page, and RS400 allocates one four-byte hardware PTE per GPU page.	Page counts precede both shadow allocations, RS400 table sizing, and coherent table allocation.	Each common shadow allocation failure calls radeon_gart_fini for its completed ownership prefix. A hardware table allocation failure returns ENOMEM and the outer RS400 init aborts.	kernel allocation result;table address;page counts	Quantifies fixed modeled metadata cost for each effective aperture before payload pages are committed.	not-run	unproved	The model excludes the dummy page, allocator metadata, host page tables, and payload backing.
RS482_VRAM_CARVEOUT_ACCOUNTING	linux-radeon-gororoba	drivers/gpu/drm/radeon/r100.c;drivers/gpu/drm/radeon/rs400.c	r100_vram_init_sizes;rs400_mc_init	CHIP_RS480 integrated graphics	NONE	proven	Linux derives GPU-usable VRAM from the northbridge TOM interval and exposes that fixed firmware-visible interval to the VRAM manager.	Northbridge TOM and aperture discovery precede VRAM manager initialization.	Invalid or constrained aperture state can limit driver-visible VRAM, but Linux does not return firmware-reserved DRAM to the operating system.	kernel log;GEM_INFO;VRAM manager	Keeps the physical VRAM pool distinct from the GTT virtual aperture.	not-run	unproved	The source relation does not prove that every boot reserves 128 MiB.
RADEON_VRAMLIMIT_TEST_BOUNDARY	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_drv.c;drivers/gpu/drm/radeon/radeon_device.c	radeon_vram_limit;radeon_vram_location	all Radeon devices	RS482_VRAM_CARVEOUT_ACCOUNTING	proven	vramlimit can reduce real_vram_size after the physical VRAM interval is established, and its module description marks the control as testing-only.	The limit changes driver accounting after vram_start and vram_end derive from the firmware-visible interval.	Zero or a non-power-of-two value leaves the physical interval unchanged and disables the limit.	module parameter;kernel log;GEM_INFO	Shows that lowering the driver limit cannot reclaim the firmware carveout and therefore is not a memory optimization.	not-run	unproved	A smaller reported VRAM size does not increase system RAM or GTT bandwidth.
RADEON_TTM_MANAGER_CAPACITY	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_object.c;drivers/gpu/drm/radeon/radeon_ttm.c	radeon_bo_init;radeon_ttm_init_vram;radeon_ttm_init_gtt;radeon_ttm_set_active_vram_size;radeon_ttm_init	all Radeon TTM devices	RS482_GART_METADATA_CAPACITY;RS482_VRAM_CARVEOUT_ACCOUNTING	proven	TTM initializes the VRAM range-manager maximum from real_vram_size, sets its active size to visible_vram_size, pins the stolen VGA object, and initializes the GTT range manager from effective gtt_size.	The VRAM maximum and active bound initialize before the stolen object; the GTT manager initializes afterward and before ordinary BO validation.	Each manager reports allocation failure, but later initialization failures return directly; the bounded source does not prove complete rollback of earlier TTM ownership.	GEM_INFO;RADEON_INFO_VRAM_USAGE;RADEON_INFO_GTT_USAGE;TTM debugfs	Defines allocator address capacity for both domains while preserving visible versus total VRAM.	not-run	unproved	GTT manager capacity is virtual aperture space, not uniquely available physical DRAM.
RADEON_BO_DOMAIN_PLACEMENT_ORDER	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_object.c	radeon_ttm_placement_from_domain	all Radeon BOs	RADEON_TTM_MANAGER_CAPACITY	proven	For a multi-domain request Linux appends VRAM, then GTT, then CPU placement; CPU access constrains VRAM to the visible interval. A GTT placement at or below the 512 KiB segregation boundary requests top-of-aperture insertion (TTM_PL_FLAG_TOPDOWN), so small objects pack against the top of the aperture while wider requests cut from the bottom.	Placement construction precedes each TTM validation attempt.	An empty domain request falls back to system placement.	radeon_gem_info;usage deltas	Makes requested domains and realized placement separate evidence fields, and keeps the middle of the aperture wide by segregating small GTT objects to the top.	not-run	unproved	Preferred order does not prove final placement, residency duration, or lower latency, and the 512 KiB segregation boundary is a heuristic, not a measured optimum.
RADEON_VRAM_RELOCATION_THRESHOLD	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_object.c	radeon_bo_get_threshold_for_moves;radeon_bo_list_validate	all Radeon command submissions	RADEON_BO_DOMAIN_PLACEMENT_ORDER	proven	The per-IB threshold is max of one MiB and half the free portion of the lower half of real VRAM. For 128 MiB VRAM the intercept is 32 MiB, each two-byte usage increment lowers the raw threshold by one byte, and odd usage rounds down one additional byte. The byte-domain floor begins at 65,011,711 bytes; the first 4 KiB-aligned value at the floor is 62 MiB.	The threshold snapshot precedes BO validation; the prior moved-byte total is compared with a strict greater-than test before each next preferred move.	A preferred-domain validation failure retries with allowed domains unless interrupted. A whole BO can overshoot the threshold because its size is counted only after validation.	RADEON_INFO_NUM_BYTES_MOVED;VRAM usage;BO placement	Defines the anti-thrash coefficients and the BO-size confounder that every workload comparison retains.	not-run	unproved	The source threshold and comment are not a measured optimum for RS482.
