coefficient_id	contract_row	source_file	source_symbol	output_quantity	input_quantity	coefficient_numerator	coefficient_denominator	addend_bytes	evaluation_inputs	derived_value	derived_unit	valid_domain	source_status	nonclaim
RS400_HARDWARE_PTE_BYTES_PER_GPU_PAGE	RS482_GART_METADATA_CAPACITY	drivers/gpu/drm/radeon/rs400.c	rs400_gart_init	hardware_table_bytes	gpu_pages	4	1	0	gpu_pages=32768	131072	bytes	RS400 or RS480 with 4 KiB GPU pages	source-model-only	The coefficient excludes coherent-allocation metadata and alignment overhead.
RADEON_CPU_PAGE_POINTER_BYTES_PER_CPU_PAGE	RS482_GART_METADATA_CAPACITY	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_init	cpu_page_pointer_bytes	cpu_pages	8	1	0	cpu_pages=32768	262144	bytes	x86_64 with PAGE_SIZE=4096 and pointer size 8	source-model-only	The coefficient changes with CPU page size or pointer width.
RADEON_PTE_SHADOW_BYTES_PER_GPU_PAGE	RS482_GART_METADATA_CAPACITY	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_init	pte_shadow_bytes	gpu_pages	8	1	0	gpu_pages=32768	262144	bytes	RADEON_GPU_PAGE_SIZE=4096 and u64 size 8	source-model-only	The coefficient excludes virtual-allocation metadata and host page tables.
RS482_STATIC_METADATA_BYTES_PER_GTT_MIB	RS482_GART_METADATA_CAPACITY	drivers/gpu/drm/radeon/radeon_gart.c;drivers/gpu/drm/radeon/rs400.c	radeon_gart_init;rs400_gart_init	static_metadata_bytes	gtt_mib	5120	1	0	gtt_mib=128	655360	bytes	x86_64 with 4 KiB CPU and GPU pages	source-model-only	The combined slope excludes the dummy page, allocator metadata, and payload backing.
RADEON_MOVE_THRESHOLD_EMPTY_VRAM_INTERCEPT	RADEON_VRAM_RELOCATION_THRESHOLD	drivers/gpu/drm/radeon/radeon_object.c	radeon_bo_get_threshold_for_moves	raw_movement_threshold_bytes	real_vram_bytes	1	4	0	real_vram_bytes=134217728;vram_usage_bytes=0	33554432	bytes	zero VRAM usage	source-model-only	The intercept does not include the one MiB floor comparison.
RADEON_MOVE_THRESHOLD_USAGE_SLOPE	RADEON_VRAM_RELOCATION_THRESHOLD	drivers/gpu/drm/radeon/radeon_object.c	radeon_bo_get_threshold_for_moves	raw_movement_threshold_bytes	vram_usage_bytes	-1	2	0	vram_usage_bytes=2	-1	bytes	zero through one-half real VRAM usage	source-model-only	The term is one component of the piecewise threshold rather than a complete verdict.
RADEON_MOVE_THRESHOLD_FLOOR	RADEON_VRAM_RELOCATION_THRESHOLD	drivers/gpu/drm/radeon/radeon_object.c	radeon_bo_get_threshold_for_moves	movement_threshold_floor_bytes	floor_bytes	1	1	0	floor_bytes=1048576	1048576	bytes	all VRAM usage	source-model-only	The floor is a threshold and does not cap the size of the next moved BO.
RS482_MOVE_THRESHOLD_128_MIB_KNEE	RADEON_VRAM_RELOCATION_THRESHOLD	drivers/gpu/drm/radeon/radeon_object.c	radeon_bo_get_threshold_for_moves	vram_usage_knee_bytes	real_vram_bytes	1	2	-2097152	real_vram_bytes=134217728;floor_bytes=1048576	65011712	bytes	even real_vram_bytes at least twice the floor	source-model-only	The 62 MiB knee is a source derivation rather than a measured pressure optimum.
RADEON_SINGLE_BO_EFFECTIVE_GTT_TERM	RADEON_SINGLE_BO_GTT_CEILING	drivers/gpu/drm/radeon/radeon_gem.c	radeon_gem_object_create	max_bo_size_bytes	effective_gtt_bytes	1	1	0	effective_gtt_bytes=134217728	134217728	bytes	effective_gtt_bytes at least gart_pin_size	source-model-only	The positive term does not prove a free allocator extent of that size.
RADEON_SINGLE_BO_PINNED_DEBIT	RADEON_SINGLE_BO_GTT_CEILING	drivers/gpu/drm/radeon/radeon_gem.c	radeon_gem_object_create	max_bo_size_bytes	gart_pin_size	-1	1	0	gart_pin_size=1048576	-1048576	bytes	effective_gtt_bytes at least gart_pin_size	source-model-only	The debit does not identify which pinned objects consume the counter.
