# schema: gororoba-kernel-toolchain-prefix-tree-v1
relative_path	entry_type	mode	size	identity_sha256	link_target	resolved_path	resolved_sha256
bin	directory	0755	-	-	-	-	-
bin/FileCheck	regular	0755	797064	0bb0c81480b3cf2d5f5a27799eee733379218ac85458bee0ba12f912a736b520	-	-	-
bin/UnicodeNameMappingGenerator	regular	0755	44888	cc76bd7d28e5f2fec3080131693f50b2b5536e65696abefc57494028955c12ca	-	-	-
bin/amdgpu-arch	regular	0755	49856	8fba50c56663debd8a0118fff3156436a7db581f4b3fb3731261ddff3ff9c4f7	-	-	-
bin/analyze-build	regular	0755	557	4287c2473976e2f4b27b4d6f55dfbf7ea0a477a225798485332ac387acae9ee0	-	-	-
bin/bugpoint	regular	0755	329936	ae2583834589cf51b1c6bf6565a348869ba34e2587f4a561b51508e08ac486af	-	-	-
bin/c-index-test	regular	0755	29910312	a632fb00b71566d7043ddd53a2d7518a5a778ba604c1c26a4d3b6b9ec78c5907	-	-	-
bin/clang	symlink	0777	8	4fc980b2e8ca46d1bc8224d3cdb1b0b5e0f64fba66cfba8e18ddb3b44770d66e	clang-22	bin/clang-22	4f86569d7e27c2f2f8ead145099516206214ffd69f8f6ef46f032c1f11140fdb
bin/clang++	regular	0755	122168	15c4746b0f48caf36cd9432042dc0047100d0e3d0c37cd87e0bfc6ba42a88e9d	-	-	-
bin/clang-22	regular	0755	122264	4f86569d7e27c2f2f8ead145099516206214ffd69f8f6ef46f032c1f11140fdb	-	-	-
bin/clang-apply-replacements	regular	0755	103920	c67463e11847b90110d54352219672ffe4fc1c4ff4844c4418dae6d851033451	-	-	-
bin/clang-change-namespace	regular	0755	208216	b67ec4a704468ea56c6f01fd822aaa81c01c69e9518b04081704b4b413407757	-	-	-
bin/clang-check	regular	0755	45168	30a5edab8423cbd28a4d45f178855f8b22d1958d730477d5a499fb1e5156b95f	-	-	-
bin/clang-cl	regular	0755	122168	15c4746b0f48caf36cd9432042dc0047100d0e3d0c37cd87e0bfc6ba42a88e9d	-	-	-
bin/clang-cpp	regular	0755	122168	15c4746b0f48caf36cd9432042dc0047100d0e3d0c37cd87e0bfc6ba42a88e9d	-	-	-
bin/clang-doc	regular	0755	1228792	bd3ffad32890309a20c4b14f051df9a924fa6084a08ed5b6f26db7993b4e6cac	-	-	-
bin/clang-extdef-mapping	regular	0755	39976	e06003ba622da59c3d3f712939c3275a14d84b2230e45a966b132bfd1f574cf8	-	-	-
bin/clang-format	regular	0755	85464	5e7d282aa99e66a06cb211e23cf7064ba6694744cf858ea47207a03d85d8eaa8	-	-	-
bin/clang-include-cleaner	regular	0755	396240	5117d47da057517d5fc4a3d9c381b67ecf4f89bdd56dec34a405d529cb119bcf	-	-	-
bin/clang-include-fixer	regular	0755	177368	150eea145320ece9e5cab8c39b749193760634421406df8b220ab2cc20e7f90a	-	-	-
bin/clang-installapi	regular	0755	172064	6f68b565de69734a8846dc889660cc2cc6ab691aa694367d705d9f284278b6f3	-	-	-
bin/clang-linker-wrapper	regular	0755	180456	54bf8c57caab69c74e90babf4cfb2648931056ec545b1f320bc01ac2a9425a21	-	-	-
bin/clang-move	regular	0755	191888	3259edc000205aa453966fc2b89686cd5a70fdf667299658d636a4888eb6e9bf	-	-	-
bin/clang-nvlink-wrapper	regular	0755	106448	7b0310e5269822e1ba8c176b8923ad91ee981d15fa1391a3374a16b364e7470e	-	-	-
bin/clang-offload-bundler	regular	0755	59976	77e172f281b126a4b0769563460071602d84c115f1d8be94db29c5462f0ab50d	-	-	-
bin/clang-offload-packager	symlink	0777	19	80afdf5a2d58bb1879b3799406f1c1a495853b0e3de28d70dc04528e5fd3a57c	llvm-offload-binary	bin/llvm-offload-binary	ef00f3bbbf81bc09cd1fe5d096318ecc72f3dc03e027f557f929645d0e80e9af
bin/clang-query	regular	0755	146584	d607de6197b50aaee130e2eb5656371c39f9407eb5be5b1281ab3de39db985b8	-	-	-
bin/clang-refactor	regular	0755	92592	9331f089d79bab8e7d50f233b8dded9da34ed7b19894d5e79925625b1dba53dc	-	-	-
bin/clang-reorder-fields	regular	0755	101784	0a4cde71eb7f069bcd3439252091353b53f8275fe5ec0fef8af8a3ac56afd1e5	-	-	-
bin/clang-repl	regular	0755	66688	74c2d83aa2f272407237a53c5da04751c80755758722a6099f1392185b26156c	-	-	-
bin/clang-scan-deps	regular	0755	193680	3e8fbe964211aa7d2fc7998b014a79f0851589d8a74baa5dbe490e488ded8305	-	-	-
bin/clang-sycl-linker	regular	0755	82376	b7cb1bf5e03d3f0a5b2f080dfb65533ca10b3623795c1ba4597fc4a93dd95af2	-	-	-
bin/clang-tidy	regular	0755	9857008	583140570c54d6aade82000383182728066c10fd3fc4729dc6deb578e8100ac3	-	-	-
bin/clangd	regular	0755	16007264	1552a68b1895625b40ca94f6b4f5bc0817471d5829df93b722efc560d224af2b	-	-	-
bin/count	regular	0755	6384	feff1e61b4e06c08fefdb8aa2915d0221d70f13f56fbc18acf7dcee3b696f56b	-	-	-
bin/diagtool	regular	0755	542800	9941bfa008d913d48238e6f65e1baa928f3349c8f5e7623e20640a28c4ca233f	-	-	-
bin/dsymutil	regular	0755	310488	e7ef17c5e325c4a61240c076708ac3f034faf35cf7b4c67d025f54473c4c15cf	-	-	-
bin/find-all-symbols	regular	0755	184984	0c28f83834bd7e19fbed980284bc84cd24b61a12859628c32f61497b384596c1	-	-	-
bin/git-clang-format	regular	0755	28325	02006566f6c063a90cf5e5bc005d409a75a8e8b1948715a677475debdff77aee	-	-	-
bin/hmaptool	regular	0755	9997	90d27d175e95adb3b9d295e8fd130e3999276dd66240ee442bcbb075ae409648	-	-	-
bin/intercept-build	regular	0755	563	ee841b4f161e368b84c4991818369532bb49cb4d4a85deef4d6d5826d736de5f	-	-	-
bin/ld.lld	regular	0755	18496	22eee89e7f46cd62e6c07935a58b257521f9e5800c26d58a48d3fa3460596832	-	-	-
bin/ld64.lld	regular	0755	18496	22eee89e7f46cd62e6c07935a58b257521f9e5800c26d58a48d3fa3460596832	-	-	-
bin/lit	regular	0755	207	3cbec62a5c221ad785de11cac94515cb15cb4a9628a1a0b754747b1b103aa026	-	-	-
bin/llc	regular	0755	167264	97704a4968d0b6ab701564829174cc2f08c0a7d2ad654c2d60413f03f0097bd3	-	-	-
bin/lld	regular	0755	18496	22eee89e7f46cd62e6c07935a58b257521f9e5800c26d58a48d3fa3460596832	-	-	-
bin/lld-link	regular	0755	18600	a65fee7d506d9c39b42d0204587cc689b1983fc293012ea405beee44b053549c	-	-	-
bin/lli	regular	0755	175808	80eb02db9a34542bd2de70e74e6474fe9e9e46c9d47be080276b497483d2948b	-	-	-
bin/lli-child-target	regular	0755	1598200	94c054731137f818368d86644e55e11245414f491ea4602619981e93a6a0d96e	-	-	-
bin/llvm-PerfectShuffle	regular	0755	14376	c8c6f1d4c22afe0c02c7e43591dbe7f57acdc898f9bf2d929a22244553218246	-	-	-
bin/llvm-addr2line	symlink	0777	15	164dd1cde06e17295c6ce90d8a0d493a0ec54d3bd74bc87b37132eeb57d60a92	llvm-symbolizer	bin/llvm-symbolizer	b9928cc84babef75c78af3ee51a2b03246b858fb6617421da127d2f577fba509
bin/llvm-ar	regular	0755	80656	57d97acb73f77829269328e2de5d951624689ffbbf3ae43f08ee1801b95024e9	-	-	-
bin/llvm-as	regular	0755	23832	e205e7d186066fa0cac0702ad73fd6e8f4cfb04f04a0f96cd75abcdddb5ebdf3	-	-	-
bin/llvm-bcanalyzer	regular	0755	18368	8f5678f577b2f264c22bf71383d5abc683641c937758f970487e19ddf50a0f7a	-	-	-
bin/llvm-bitcode-strip	symlink	0777	12	be26604cd7208b10a47908f09c1d8b533686cbe619573052f2e132bd552b2155	llvm-objcopy	bin/llvm-objcopy	3dc11d698a2990f7fb3c5544e8492f4b5ee77c07f6505bf7ecca0a7d8501d3b0
bin/llvm-c-test	regular	0755	101784	b8a97ee6029245ff67451c969e0d6ee1e9f991489eef15e7bc15f71119ed22e8	-	-	-
bin/llvm-cas	regular	0755	39000	69ddb63ce2d56865d4ac26c44bd086100ff5b41ad398cc28c2b9b077950d0b62	-	-	-
bin/llvm-cat	regular	0755	22528	a310fa724dc554a45d53c48c02f168a463e0b4b8ef032d04b7a4dafecac50e86	-	-	-
bin/llvm-cfi-verify	regular	0755	89576	1ada004df71e7c56cb0bd8c90f4da0d79c9bd18a50931edf3661bb4f23b251e7	-	-	-
bin/llvm-cgdata	regular	0755	32608	1e22973845038c08ede49d7a14dfecaad08b106c852bac1c3be13d33cd87b272	-	-	-
bin/llvm-config	regular	0755	599048	e68c8ef5e9a56ca85c06b579f7cd5859d687a8b49c1fc02d20a20e4c6ebf525d	-	-	-
bin/llvm-cov	regular	0755	454536	143fbf72989783cbf0cbb78d45de0a60ccb5de2a6f3023b2172cf2273e89e13d	-	-	-
bin/llvm-ctxprof-util	regular	0755	20648	5c0d87a0e94e149b6c48cd47e82e201e90cd2d4f6a069bf6e825eb7f13011218	-	-	-
bin/llvm-cvtres	regular	0755	25800	59481cd06c8a0a31e3767f8eace31a3acc49f0e11e7de7394e6106aad5eb96e9	-	-	-
