sequence	commit_id	subject	mechanism	legacy_patches	depends_on	order_after	evidence_depends_on	future_profile	kernel_lanes	checkpoint	side_effect_class	profile_exception	exception_basis	expected_driver_tree	expected_manifest	expected_manifest_sha256	effect_bundle	rationale
1	M04	radeon: centralize RS4xx debugfs registration	rs4xx-debugfs-registration	0009	B13	B14	none	observe-dev	6.18,7.1	none	software-state	none	none	5e6ea72b87d64bfd7b6386ec7d2ca951bb887ed3	migration/expected-prefixes/mechanism/M04.manifest.tsv	ae0d95247d487ced039e36447befdba5ad75f66844373b9e32431bb973019401	migration/reconstruction-effects/mechanism/M04.patch	The primary-minor hook registers only interfaces present at the prefix.
2	M01	rs480: expose CP cache-drain trigger	cp-cache-drain	0002	M04	M04	none	mutate-dev	6.18,7.1	none	command-submission	none	none	5e74d86938d97aae31c74508b46435daf2361f91	migration/expected-prefixes/mechanism/M01.manifest.tsv	b88e204aada5bfe5909e2ff251481e6f3e32f933a3d5044be84006fe256af96e	migration/reconstruction-effects/mechanism/M01.patch	A root write submits cache-control and idle packets through the CP ring.
3	M02	radeon: report RS4xx CS parser failures	cs-parser-failure-telemetry	0007	B14	M01	none	prod	6.18,7.1	none	telemetry	none	none	e278da5b431c6ecb4d2304be8dad6aa65db8bc24	migration/expected-prefixes/mechanism/M02.manifest.tsv	a686cced3a3a76d341a6a2f77290969adaa122bd5e75ee784c8919187ac28065	migration/reconstruction-effects/mechanism/M02.patch	Parser failures gain independent telemetry without hardware access.
4	M03	rs480: add candidate register snapshots	candidate-register-snapshots	0004,0005,0010,0011,0012,0018,0024,0026,0028	M04	M02	none	probe-dev	6.18,7.1	none	indirect-selector-read	none	none	2d166dc1f388d9d10444024e1ae66f72fdf296a0	migration/expected-prefixes/mechanism/M03.manifest.tsv	8798a8c92414e6caf94ba4620fb536f18626bc8ad4f4aacef825791d97664655	migration/reconstruction-effects/mechanism/M03.patch	Candidate cohorts carry their final skip and explicit arm gates.
5	M05	rs480: add CP-ME RAM dump	cp-me-ram-dump	0006	M04	M03	none	probe-dev	6.18,7.1	none	indirect-selector-read	none	none	e6cdae7785a330dd0726fe7b568949ed5c13141c	migration/expected-prefixes/mechanism/M05.manifest.tsv	1eb749d15074815b8a43814744df108b8d24f2cf8507ad2447b3dac2ea38e245	migration/reconstruction-effects/mechanism/M05.patch	The dump writes the read selector and returns bounded microcode RAM rows.
6	M06	rs480: add CP-ME RAM injection	cp-me-ram-injection	0008,0016,0038	M04	M05	none	mutate-dev	6.18,7.1	none	microcode-write	none	none	41a25a88472b5383c51cdce1857053734c081a08	migration/expected-prefixes/mechanism/M06.manifest.tsv	538a500d1f9334690798ad4c3dc8e80c9cb28b6d06fdd10ed64104a2e38e7203	migration/reconstruction-effects/mechanism/M06.patch	Per-device state gates bounded write, verify, restore, and idle checks.
7	M07	rs480: add CP-ME oracle	cp-me-oracle	0013	M04,M06	M06	none	probe-dev	6.18,7.1	none	software-state	none	none	535224a28e238438db2871da98a31634f6ed94fc	migration/expected-prefixes/mechanism/M07.manifest.tsv	08a67c434d0a910e5a98e46d64e5f6c5bbb4ce3d80c939e51881d75bfa23c45e	migration/reconstruction-effects/mechanism/M07.patch	The compiled oracle excludes IGP execution and retains the destructive discrete sequence as non-executable source.
8	M08	rs480: promote validated safe registers	safe-register-promotion	0014,0017,0020,0028	B13	M07	M03	observe-dev	6.18,7.1	none	direct-mmio-read	none	none	1c7eb85944f2524b6509e53865cf4423346572e0	migration/expected-prefixes/mechanism/M08.manifest.tsv	a75128c85d7a7a6003edbb5b15455b9a915af988b08081531afd085d0f00ab84	migration/reconstruction-effects/mechanism/M08.patch	Evidence-backed registers enter the passive bounded safe snapshot.
9	M10	rs480: add PLL and first-read probes	pll-and-first-read-probes	0019	M04,M03	M08	none	probe-dev	6.18,7.1	none	indirect-selector-read	none	none	3483a45a4b49a48107f6bbcd7f61f6ca490f256b	migration/expected-prefixes/mechanism/M10.manifest.tsv	5c88995f54d271a73cca628152fb1150e06c8f5ee53e10716dc97e84c99b5f7a	migration/reconstruction-effects/mechanism/M10.patch	PLL selector transactions and single first reads remain active probes.
10	M09	rs480: add indexed diagnostic probes	indexed-diagnostic-probes	0015,0022	M04,M03	M10	none	probe-dev	6.18,7.1	none	direct-mmio-read	none	none	270f91acc8a635deb7cefa7d701e316be985a328	migration/expected-prefixes/mechanism/M09.manifest.tsv	b53feaf3331c175755ded6c5489301037795f7abd0bf2a2788cdfd0f359340c7	migration/reconstruction-effects/mechanism/M09.patch	Explicit selectors bound each active direct-read probe.
