sequence	commit_id	subject	mechanism	legacy_patches	depends_on	order_after	evidence_depends_on	future_profile	kernel_lanes	checkpoint	side_effect_class	profile_exception	exception_basis	expected_driver_tree	expected_manifest	expected_manifest_sha256	effect_bundle	rationale
1	B01	radeon: establish external-module source definitions	external-module-source-root	base-delta	none	none	none	prod	6.18	none	build-only	none	none	06d933297bbd15f6d0e9335b6dcd7e9652aa685d	migration/expected-prefixes/base/B01.manifest.tsv	c6f55d0e84604805b838f622128a8425f9cfcb461634b35550bce7cf5ba12af9	migration/reconstruction-effects/base/B01.patch	Project-local version guards compile from the exported driver source.
2	B02	drm/radeon: annotate ClockInfoArray bounds	clock-info-bounds-backport	base-delta	none	B01	none	prod	6.18	none	software-state	none	none	34d6f7506a51ed4c373f2fd81d50a633d89d2139	migration/expected-prefixes/base/B02.manifest.tsv	2ce37d28114dd7d00d0cb76758fcdab37c6fbcb5787fb52c84ebab7d549648a2	migration/reconstruction-effects/base/B02.patch	The exact upstream annotation remains one authorship-preserving backport.
3	B03	drm/radeon: include drm_print.h in radeon.h	drm-print-include-backport	base-delta	none	B02	none	prod	6.18	none	build-only	none	none	ff68f8e3850894387c6729d717c27d8d2838df3e	migration/expected-prefixes/base/B03.manifest.tsv	34b130ba2b09d52117c5636052b1e2d66026069e52a6cc372015f367ee5cd4fe	migration/reconstruction-effects/base/B03.patch	The exact upstream include remains one authorship-preserving backport.
4	B04	radeon: bridge set-base callback signatures	set-base-api-bridge	base-delta	B01	B03	none	prod	6.18	none	software-state	none	none	f95612624df24e0b91e26a46b7101e9997ba618d	migration/expected-prefixes/base/B04.manifest.tsv	360cdbf11a6ee83dda654e40abea46b3632a3a2daa0e123c5fdf3483788d1d2d	migration/reconstruction-effects/base/B04.patch	One version guard preserves both DRM callback signatures.
5	B05	radeon: bridge DRM client suspend and resume	drm-client-lifecycle-bridge	base-delta	B01	B04	none	prod	6.18	none	software-state	none	none	9d8131d657e5b4a33030686fd499ad5673fb9ec6	migration/expected-prefixes/base/B05.manifest.tsv	6848dcad50cb8a0c2b17a9d82f047f6919dba2ef3dd183f770afb0b4d60f2942	migration/reconstruction-effects/base/B05.patch	One version guard preserves both DRM client lifecycle APIs.
6	B06	radeon: bridge fbdev allocation	fbdev-allocation-bridge	base-delta	B01	B05	none	prod	6.18	none	software-state	none	none	ff814042c802dc707b7c42e8444f9858ad9c58b7	migration/expected-prefixes/base/B06.manifest.tsv	dd808a7106bf3b69449d0c67db9dc477d489412717287a6b2baf2dbcce768767	migration/reconstruction-effects/base/B06.patch	One version guard preserves both fbdev allocation APIs.
7	B07	radeon: bridge TTM BO finalization	ttm-bo-finalization-bridge	base-delta	B01	B06	none	prod	6.18	none	software-state	none	none	98548f9ba065044b59196400c27ffeb200abe4cd	migration/expected-prefixes/base/B07.manifest.tsv	21bb9ea28ac4fa6b031da8245eec7c6f7de68034b805dc7c4ca0aa57c45916d5	migration/reconstruction-effects/base/B07.patch	One version guard preserves both TTM BO finalization APIs.
8	B08	radeon: bridge PCI MSI masking	pci-msi-mask-bridge	base-delta	B01	B07	none	prod	6.18	none	software-state	none	none	1cf3b118833ba0ee93eb50644fd791f4b14fe73d	migration/expected-prefixes/base/B08.manifest.tsv	fd2c91de3b60c3e71f7b45f1c3e25ed7654adb12bea292da7e60f50e17a48e45	migration/reconstruction-effects/base/B08.patch	One version guard preserves both PCI MSI APIs.
9	B09	radeon: bridge TTM device-init flags	ttm-device-init-bridge	base-delta	B01	B08	none	prod	6.18,7.1	none	software-state	none	none	bdb6d5c2030e85930075cf3e13ff26f48dfa39c0	migration/expected-prefixes/base/B09.manifest.tsv	9e38ea70463149b2a772d5913cc59c35eda3956ccb232100fc03f7dc9519afdf	migration/reconstruction-effects/base/B09.patch	The TTM device flags bridge establishes the dual-kernel frontier.
10	B10	radeon: require firmware for R600 and later	firmware-presence-gate	base-delta	none	B09	none	prod	6.18,7.1	none	software-state	none	none	e4dc43697fb15153082846f8f89b41e2f3aa625f	migration/expected-prefixes/base/B10.manifest.tsv	e6f68b58b7a91f0722f6d8c8c330bd87b2e6341545e484387be54c2473d3948f	migration/reconstruction-effects/base/B10.patch	The probe gate retains unproven authorship and fails before device bring-up.
11	B11	radeon: bound Palm reset behavior	bounded-palm-reset	base-delta	B01	B10	none	prod	6.18,7.1	none	reset-execution	production-correctness	bounded Palm reset and refusal evidence	0d2dab7c9208d8e683eed4dbc382ce61b39c1443	migration/expected-prefixes/base/B11.manifest.tsv	371ad1e1f256d993dc6b4e431f5e31765b4a3e4080d2d3244873cdc91fa5e172	migration/reconstruction-effects/base/B11.patch	The production reset path bounds waits and refuses Palm PCI reset by default.
12	B12	radeon: expose root-only Palm reset trigger	palm-reset-trigger	base-delta	B11	none	none	mutate-dev	6.18,7.1	none	reset-execution	none	none	17e00a7c0605bf32a791d637294ad25d9881ec43	migration/expected-prefixes/base/B12.manifest.tsv	c58fcfc602d0a7c29060795cd75924e7c4e6a8224be07fea9846369f4b38a5e7	migration/reconstruction-effects/base/B12.patch	The root-only trigger performs the gated reset operation.
13	B13	rs480: expose bounded safe-register snapshot	rs48x-safe-register-snapshot	base-delta	B01	B12	none	observe-dev	6.18,7.1	none	direct-mmio-read	none	none	8245505886f9f031a1563ac96f6cfd356f859bcd	migration/expected-prefixes/base/B13.manifest.tsv	4d9e256ea5f8a8fd07f0a019acd00751ff2eb67ebd2f01cd133f66b4c0880249	migration/reconstruction-effects/base/B13.patch	The bounded direct-read snapshot exposes the retained RS48X safe list.
14	B14	r300: encode SMX_DC_CTL0 in register source	smx-dc-ctl0-command-policy	base-delta	B09	B13	none	mutate-dev	6.18,7.1	base-212	command-policy-mutation	none	none	11598d3db07ac5d230ea0e3b8d42668fe80fd270	migration/expected-prefixes/base/B14.manifest.tsv	1f085124056f24cdfe26ff3c19e615c32cefdb5fef5a9343205acce17e7d94c7	migration/reconstruction-effects/base/B14.patch	The generator input reproduces the shipped command-stream permission.
